county,precinct,office,district,candidate,party,votes,election_day,absentee,provisional,military,federal
Cumberland,UPPER ALLEN 1,Governor,,TOM WOLF,DEM,421,400,20,0,1,0
Cumberland,UPPER ALLEN 2,Governor,,TOM WOLF,DEM,194,180,14,0,0,0
Cumberland,UPPER ALLEN 3,Governor,,TOM WOLF,DEM,497,471,25,1,0,0
Cumberland,UPPER ALLEN 4,Governor,,TOM WOLF,DEM,553,528,24,0,1,0
Cumberland,UPPER ALLEN 5,Governor,,TOM WOLF,DEM,482,458,23,1,0,0
Cumberland,UPPER ALLEN 6,Governor,,TOM WOLF,DEM,438,414,23,0,1,0
Cumberland,UPPER ALLEN 7,Governor,,TOM WOLF,DEM,371,352,19,0,0,0
Cumberland,UPPER ALLEN 8,Governor,,TOM WOLF,DEM,792,752,40,0,0,0
Cumberland,UPPER ALLEN 9,Governor,,TOM WOLF,DEM,525,510,15,0,0,0
Cumberland,UPPER ALLEN 10,Governor,,TOM WOLF,DEM,476,463,7,6,0,0
Cumberland,UPPER FRANKFORD,Governor,,TOM WOLF,DEM,195,188,7,0,0,0
Cumberland,UPPER MIFFLIN,Governor,,TOM WOLF,DEM,107,101,6,0,0,0
Cumberland,WEST PENNSBORO LOWER,Governor,,TOM WOLF,DEM,371,353,17,0,1,0
Cumberland,WEST PENNSBORO UPPER,Governor,,TOM WOLF,DEM,445,421,24,0,0,0
Cumberland,WORMLEYSBURG 1,Governor,,TOM WOLF,DEM,260,250,10,0,0,0
Cumberland,WORMLEYSBURG 2,Governor,,TOM WOLF,DEM,377,364,12,1,0,0
Cumberland,Total,Governor,,TOM WOLF,DEM,52807,50303,2444,23,37,0
Cumberland,CAMP HILL 1,Governor,,SCOTT R WAGNER,REP,247,236,11,0,0,0
Cumberland,CAMP HILL 2,Governor,,SCOTT R WAGNER,REP,354,339,15,0,0,0
Cumberland,CAMP HILL 3,Governor,,SCOTT R WAGNER,REP,478,453,24,1,0,0
Cumberland,CAMP HILL 4,Governor,,SCOTT R WAGNER,REP,180,173,7,0,0,0
Cumberland,CAMP HILL 5,Governor,,SCOTT R WAGNER,REP,247,240,7,0,0,0
Cumberland,CARLISLE 1-1,Governor,,SCOTT R WAGNER,REP,93,92,1,0,0,0
Cumberland,CARLISLE 1-2,Governor,,SCOTT R WAGNER,REP,122,120,2,0,0,0
Cumberland,CARLISLE 2,Governor,,SCOTT R WAGNER,REP,209,202,6,1,0,0
Cumberland,CARLISLE 3-1,Governor,,SCOTT R WAGNER,REP,188,177,11,0,0,0
Cumberland,CARLISLE 3-2,Governor,,SCOTT R WAGNER,REP,361,320,40,1,0,0
Cumberland,CARLISLE 3-3,Governor,,SCOTT R WAGNER,REP,492,446,46,0,0,0
Cumberland,CARLISLE 4-1,Governor,,SCOTT R WAGNER,REP,59,52,7,0,0,0
Cumberland,CARLISLE 4-2,Governor,,SCOTT R WAGNER,REP,343,324,17,0,2,0
Cumberland,CARLISLE 5,Governor,,SCOTT R WAGNER,REP,527,507,20,0,0,0
Cumberland,COOKE,Governor,,SCOTT R WAGNER,REP,58,57,1,0,0,0
Cumberland,DICKINSON NORTH,Governor,,SCOTT R WAGNER,REP,1058,986,72,0,0,0
Cumberland,DICKINSON SOUTH,Governor,,SCOTT R WAGNER,REP,410,398,11,1,0,0
Cumberland,EAST PENNSBORO 1,Governor,,SCOTT R WAGNER,REP,459,437,22,0,0,0
Cumberland,EAST PENNSBORO 2,Governor,,SCOTT R WAGNER,REP,409,399,10,0,0,0
Cumberland,EAST PENNSBORO 3,Governor,,SCOTT R WAGNER,REP,447,438,7,0,2,0
Cumberland,EAST PENNSBORO 4,Governor,,SCOTT R WAGNER,REP,424,415,9,0,0,0
Cumberland,EAST PENNSBORO 5,Governor,,SCOTT R WAGNER,REP,372,365,7,0,0,0
Cumberland,EAST PENNSBORO 6,Governor,,SCOTT R WAGNER,REP,149,140,9,0,0,0
Cumberland,EAST PENNSBORO 7,Governor,,SCOTT R WAGNER,REP,440,425,15,0,0,0
Cumberland,EAST PENNSBORO 8,Governor,,SCOTT R WAGNER,REP,401,385,16,0,0,0
Cumberland,EAST PENNSBORO 9,Governor,,SCOTT R WAGNER,REP,370,361,9,0,0,0
Cumberland,EAST PENNSBORO 10,Governor,,SCOTT R WAGNER,REP,344,323,21,0,0,0
Cumberland,HAMPDEN 1,Governor,,SCOTT R WAGNER,REP,336,331,5,0,0,0
Cumberland,HAMPDEN 2,Governor,,SCOTT R WAGNER,REP,329,317,11,1,0,0
Cumberland,HAMPDEN 3,Governor,,SCOTT R WAGNER,REP,384,365,19,0,0,0
Cumberland,HAMPDEN 4,Governor,,SCOTT R WAGNER,REP,384,372,12,0,0,0
Cumberland,HAMPDEN 5,Governor,,SCOTT R WAGNER,REP,412,392,20,0,0,0
Cumberland,HAMPDEN 6,Governor,,SCOTT R WAGNER,REP,623,600,23,0,0,0
Cumberland,HAMPDEN 7,Governor,,SCOTT R WAGNER,REP,357,335,22,0,0,0
Cumberland,HAMPDEN 8,Governor,,SCOTT R WAGNER,REP,278,265,12,0,1,0
Cumberland,HAMPDEN 9,Governor,,SCOTT R WAGNER,REP,491,459,32,0,0,0
Cumberland,HAMPDEN 10,Governor,,SCOTT R WAGNER,REP,1220,1158,62,0,0,0
Cumberland,HAMPDEN 11,Governor,,SCOTT R WAGNER,REP,1026,976,50,0,0,0
Cumberland,HAMPDEN 12,Governor,,SCOTT R WAGNER,REP,744,709,35,0,0,0
Cumberland,HOPEWELL,Governor,,SCOTT R WAGNER,REP,551,537,14,0,0,0
Cumberland,LEMOYNE 1,Governor,,SCOTT R WAGNER,REP,138,135,3,0,0,0
Cumberland,LEMOYNE 2,Governor,,SCOTT R WAGNER,REP,106,103,3,0,0,0
Cumberland,LEMOYNE 3,Governor,,SCOTT R WAGNER,REP,368,344,24,0,0,0
Cumberland,LEMOYNE 4,Governor,,SCOTT R WAGNER,REP,116,116,0,0,0,0
Cumberland,LOWER ALLEN 1 ANNEX,Governor,,SCOTT R WAGNER,REP,70,69,1,0,0,0
Cumberland,LOWER ALLEN 1,Governor,,SCOTT R WAGNER,REP,312,304,8,0,0,0
Cumberland,LOWER ALLEN 2,Governor,,SCOTT R WAGNER,REP,1002,959,41,0,2,0
Cumberland,LOWER ALLEN 3,Governor,,SCOTT R WAGNER,REP,399,388,11,0,0,0
Cumberland,LOWER ALLEN 4,Governor,,SCOTT R WAGNER,REP,275,270,5,0,0,0
Cumberland,LOWER ALLEN 5,Governor,,SCOTT R WAGNER,REP,778,733,45,0,0,0
Cumberland,LOWER ALLEN 6,Governor,,SCOTT R WAGNER,REP,484,460,24,0,0,0
Cumberland,LOWER FRANKFORD,Governor,,SCOTT R WAGNER,REP,413,398,15,0,0,0
Cumberland,LOWER MIFFLIN,Governor,,SCOTT R WAGNER,REP,401,398,3,0,0,0
Cumberland,MECHANICSBURG 1,Governor,,SCOTT R WAGNER,REP,152,146,6,0,0,0
Cumberland,MECHANICSBURG 2-1,Governor,,SCOTT R WAGNER,REP,329,319,10,0,0,0
Cumberland,MECHANICSBURG 2-2,Governor,,SCOTT R WAGNER,REP,451,442,9,0,0,0
Cumberland,MECHANICSBURG 3,Governor,,SCOTT R WAGNER,REP,274,269,5,0,0,0
Cumberland,MECHANICSBURG 4,Governor,,SCOTT R WAGNER,REP,182,174,7,0,1,0
Cumberland,MECHANICSBURG 5,Governor,,SCOTT R WAGNER,REP,309,301,8,0,0,0
Cumberland,MIDDLESEX 1,Governor,,SCOTT R WAGNER,REP,1000,959,40,1,0,0
Cumberland,MIDDLESEX 2,Governor,,SCOTT R WAGNER,REP,485,466,19,0,0,0
Cumberland,MONROE 1,Governor,,SCOTT R WAGNER,REP,918,868,50,0,0,0
Cumberland,MONROE 2,Governor,,SCOTT R WAGNER,REP,703,668,34,1,0,0
Cumberland,MT HOLLY SPRINGS,Governor,,SCOTT R WAGNER,REP,316,312,4,0,0,0
Cumberland,NEW CUMBERLAND 1-1,Governor,,SCOTT R WAGNER,REP,437,423,12,0,2,0
Cumberland,NEW CUMBERLAND 2-1,Governor,,SCOTT R WAGNER,REP,319,312,6,0,1,0
Cumberland,NEW CUMBERLAND 2-2,Governor,,SCOTT R WAGNER,REP,351,329,22,0,0,0
Cumberland,NEW CUMBERLAND 2-3,Governor,,SCOTT R WAGNER,REP,260,255,5,0,0,0
Cumberland,NEWBURG,Governor,,SCOTT R WAGNER,REP,75,75,0,0,0,0
Cumberland,NEWVILLE NORTH,Governor,,SCOTT R WAGNER,REP,134,130,4,0,0,0
Cumberland,NEWVILLE SOUTH,Governor,,SCOTT R WAGNER,REP,98,97,1,0,0,0
Cumberland,NORTH MIDDLETON 1,Governor,,SCOTT R WAGNER,REP,741,719,21,0,1,0
Cumberland,NORTH MIDDLETON 2,Governor,,SCOTT R WAGNER,REP,517,501,16,0,0,0
Cumberland,NORTH MIDDLETON 3,Governor,,SCOTT R WAGNER,REP,1078,1018,59,0,1,0
Cumberland,NORTH NEWTON,Governor,,SCOTT R WAGNER,REP,560,550,10,0,0,0
Cumberland,PENN,Governor,,SCOTT R WAGNER,REP,684,668,16,0,0,0
Cumberland,SHIPPENSBURG EAST,Governor,,SCOTT R WAGNER,REP,259,242,17,0,0,0
Cumberland,SHIPPENSBURG MIDDLE,Governor,,SCOTT R WAGNER,REP,203,199,4,0,0,0
Cumberland,SHIPPENSBURG TWP,Governor,,SCOTT R WAGNER,REP,309,301,6,2,0,0
Cumberland,SHIREMANSTOWN,Governor,,SCOTT R WAGNER,REP,297,291,6,0,0,0
Cumberland,SILVER SPRING 1,Governor,,SCOTT R WAGNER,REP,619,593,25,0,1,0
Cumberland,SILVER SPRING 2,Governor,,SCOTT R WAGNER,REP,472,447,25,0,0,0
Cumberland,SILVER SPRING 3,Governor,,SCOTT R WAGNER,REP,382,370,12,0,0,0
Cumberland,SILVER SPRING 4,Governor,,SCOTT R WAGNER,REP,551,524,27,0,0,0
Cumberland,SILVER SPRING 5,Governor,,SCOTT R WAGNER,REP,419,399,20,0,0,0
Cumberland,SILVER SPRING 6,Governor,,SCOTT R WAGNER,REP,254,226,28,0,0,0
Cumberland,SILVER SPRING 7,Governor,,SCOTT R WAGNER,REP,586,561,25,0,0,0
Cumberland,SILVER SPRING 8,Governor,,SCOTT R WAGNER,REP,467,439,27,0,1,0
Cumberland,SILVER SPRING 9,Governor,,SCOTT R WAGNER,REP,384,361,21,0,2,0
Cumberland,SOUTH MIDDLETON 1,Governor,,SCOTT R WAGNER,REP,508,483,25,0,0,0
Cumberland,SOUTH MIDDLETON 2,Governor,,SCOTT R WAGNER,REP,436,415,21,0,0,0
Cumberland,SOUTH MIDDLETON 3,Governor,,SCOTT R WAGNER,REP,432,408,23,0,1,0
Cumberland,SOUTH MIDDLETON 4,Governor,,SCOTT R WAGNER,REP,422,380,42,0,0,0
Cumberland,SOUTH MIDDLETON 5,Governor,,SCOTT R WAGNER,REP,404,391,12,1,0,0
Cumberland,SOUTH MIDDLETON 6,Governor,,SCOTT R WAGNER,REP,468,447,20,0,1,0
Cumberland,SOUTH MIDDLETON 7,Governor,,SCOTT R WAGNER,REP,417,402,15,0,0,0
Cumberland,SOUTH MIDDLETON 8,Governor,,SCOTT R WAGNER,REP,415,395,19,1,0,0
Cumberland,SOUTH MIDDLETON 9,Governor,,SCOTT R WAGNER,REP,447,414,32,0,1,0
Cumberland,SOUTH NEWTON,Governor,,SCOTT R WAGNER,REP,289,281,8,0,0,0
Cumberland,SOUTHAMPTON LOWER,Governor,,SCOTT R WAGNER,REP,338,324,14,0,0,0
Cumberland,SOUTHAMPTON UPPER 1,Governor,,SCOTT R WAGNER,REP,292,286,6,0,0,0
Cumberland,SOUTHAMPTON UPPER 2,Governor,,SCOTT R WAGNER,REP,783,758,24,0,1,0
Cumberland,UPPER ALLEN 1,Governor,,SCOTT R WAGNER,REP,388,373,15,0,0,0
Cumberland,UPPER ALLEN 2,Governor,,SCOTT R WAGNER,REP,187,181,6,0,0,0
Cumberland,UPPER ALLEN 3,Governor,,SCOTT R WAGNER,REP,477,465,12,0,0,0
Cumberland,UPPER ALLEN 4,Governor,,SCOTT R WAGNER,REP,450,440,9,0,1,0
Cumberland,UPPER ALLEN 5,Governor,,SCOTT R WAGNER,REP,485,458,26,0,1,0
Cumberland,UPPER ALLEN 6,Governor,,SCOTT R WAGNER,REP,538,516,22,0,0,0
Cumberland,UPPER ALLEN 7,Governor,,SCOTT R WAGNER,REP,353,339,14,0,0,0
Cumberland,UPPER ALLEN 8,Governor,,SCOTT R WAGNER,REP,691,666,24,0,1,0
Cumberland,UPPER ALLEN 9,Governor,,SCOTT R WAGNER,REP,476,456,20,0,0,0
Cumberland,UPPER ALLEN 10,Governor,,SCOTT R WAGNER,REP,243,232,11,0,0,0
Cumberland,UPPER FRANKFORD,Governor,,SCOTT R WAGNER,REP,556,544,12,0,0,0
Cumberland,UPPER MIFFLIN,Governor,,SCOTT R WAGNER,REP,360,341,19,0,0,0
Cumberland,WEST PENNSBORO LOWER,Governor,,SCOTT R WAGNER,REP,645,626,18,0,1,0
Cumberland,WEST PENNSBORO UPPER,Governor,,SCOTT R WAGNER,REP,748,718,30,0,0,0
Cumberland,WORMLEYSBURG 1,Governor,,SCOTT R WAGNER,REP,212,197,14,1,0,0
Cumberland,WORMLEYSBURG 2,Governor,,SCOTT R WAGNER,REP,223,217,6,0,0,0
Cumberland,Total,Governor,,SCOTT R WAGNER,REP,49496,47410,2049,12,25,0
Cumberland,CAMP HILL 1,Governor,,PAUL GLOVER,GRN,2,1,1,0,0,0
Cumberland,CAMP HILL 2,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,CAMP HILL 3,Governor,,PAUL GLOVER,GRN,13,12,1,0,0,0
Cumberland,CAMP HILL 4,Governor,,PAUL GLOVER,GRN,3,3,0,0,0,0
Cumberland,CAMP HILL 5,Governor,,PAUL GLOVER,GRN,3,3,0,0,0,0
Cumberland,CARLISLE 1-1,Governor,,PAUL GLOVER,GRN,2,2,0,0,0,0
Cumberland,CARLISLE 1-2,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,CARLISLE 2,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,CARLISLE 3-1,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,CARLISLE 3-2,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,CARLISLE 3-3,Governor,,PAUL GLOVER,GRN,2,1,1,0,0,0
Cumberland,CARLISLE 4-1,Governor,,PAUL GLOVER,GRN,1,1,0,0,0,0
Cumberland,CARLISLE 4-2,Governor,,PAUL GLOVER,GRN,13,12,1,0,0,0
Cumberland,CARLISLE 5,Governor,,PAUL GLOVER,GRN,6,6,0,0,0,0
Cumberland,COOKE,Governor,,PAUL GLOVER,GRN,0,0,0,0,0,0
Cumberland,DICKINSON NORTH,Governor,,PAUL GLOVER,GRN,10,9,1,0,0,0
Cumberland,DICKINSON SOUTH,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,EAST PENNSBORO 1,Governor,,PAUL GLOVER,GRN,3,2,1,0,0,0
Cumberland,EAST PENNSBORO 2,Governor,,PAUL GLOVER,GRN,3,3,0,0,0,0
Cumberland,EAST PENNSBORO 3,Governor,,PAUL GLOVER,GRN,10,10,0,0,0,0
Cumberland,EAST PENNSBORO 4,Governor,,PAUL GLOVER,GRN,7,7,0,0,0,0
Cumberland,EAST PENNSBORO 5,Governor,,PAUL GLOVER,GRN,8,8,0,0,0,0
Cumberland,EAST PENNSBORO 6,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,EAST PENNSBORO 7,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,EAST PENNSBORO 8,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,EAST PENNSBORO 9,Governor,,PAUL GLOVER,GRN,11,11,0,0,0,0
Cumberland,EAST PENNSBORO 10,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,HAMPDEN 1,Governor,,PAUL GLOVER,GRN,9,8,1,0,0,0
Cumberland,HAMPDEN 2,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,HAMPDEN 3,Governor,,PAUL GLOVER,GRN,1,1,0,0,0,0
Cumberland,HAMPDEN 4,Governor,,PAUL GLOVER,GRN,5,3,2,0,0,0
Cumberland,HAMPDEN 5,Governor,,PAUL GLOVER,GRN,10,7,3,0,0,0
Cumberland,HAMPDEN 6,Governor,,PAUL GLOVER,GRN,6,6,0,0,0,0
Cumberland,HAMPDEN 7,Governor,,PAUL GLOVER,GRN,6,6,0,0,0,0
Cumberland,HAMPDEN 8,Governor,,PAUL GLOVER,GRN,2,2,0,0,0,0
Cumberland,HAMPDEN 9,Governor,,PAUL GLOVER,GRN,8,7,1,0,0,0
Cumberland,HAMPDEN 10,Governor,,PAUL GLOVER,GRN,8,8,0,0,0,0
Cumberland,HAMPDEN 11,Governor,,PAUL GLOVER,GRN,11,11,0,0,0,0
Cumberland,HAMPDEN 12,Governor,,PAUL GLOVER,GRN,4,3,1,0,0,0
Cumberland,HOPEWELL,Governor,,PAUL GLOVER,GRN,3,3,0,0,0,0
Cumberland,LEMOYNE 1,Governor,,PAUL GLOVER,GRN,9,9,0,0,0,0
Cumberland,LEMOYNE 2,Governor,,PAUL GLOVER,GRN,1,1,0,0,0,0
Cumberland,LEMOYNE 3,Governor,,PAUL GLOVER,GRN,9,9,0,0,0,0
Cumberland,LEMOYNE 4,Governor,,PAUL GLOVER,GRN,2,2,0,0,0,0
Cumberland,LOWER ALLEN 1 ANNEX,Governor,,PAUL GLOVER,GRN,0,0,0,0,0,0
Cumberland,LOWER ALLEN 1,Governor,,PAUL GLOVER,GRN,7,7,0,0,0,0
Cumberland,LOWER ALLEN 2,Governor,,PAUL GLOVER,GRN,8,7,1,0,0,0
Cumberland,LOWER ALLEN 3,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,LOWER ALLEN 4,Governor,,PAUL GLOVER,GRN,2,2,0,0,0,0
Cumberland,LOWER ALLEN 5,Governor,,PAUL GLOVER,GRN,10,10,0,0,0,0
Cumberland,LOWER ALLEN 6,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,LOWER FRANKFORD,Governor,,PAUL GLOVER,GRN,10,10,0,0,0,0
Cumberland,LOWER MIFFLIN,Governor,,PAUL GLOVER,GRN,3,3,0,0,0,0
Cumberland,MECHANICSBURG 1,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,MECHANICSBURG 2-1,Governor,,PAUL GLOVER,GRN,9,9,0,0,0,0
Cumberland,MECHANICSBURG 2-2,Governor,,PAUL GLOVER,GRN,6,5,1,0,0,0
Cumberland,MECHANICSBURG 3,Governor,,PAUL GLOVER,GRN,8,8,0,0,0,0
Cumberland,MECHANICSBURG 4,Governor,,PAUL GLOVER,GRN,2,2,0,0,0,0
Cumberland,MECHANICSBURG 5,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,MIDDLESEX 1,Governor,,PAUL GLOVER,GRN,9,9,0,0,0,0
Cumberland,MIDDLESEX 2,Governor,,PAUL GLOVER,GRN,6,6,0,0,0,0
Cumberland,MONROE 1,Governor,,PAUL GLOVER,GRN,9,9,0,0,0,0
Cumberland,MONROE 2,Governor,,PAUL GLOVER,GRN,6,6,0,0,0,0
Cumberland,MT HOLLY SPRINGS,Governor,,PAUL GLOVER,GRN,6,6,0,0,0,0
Cumberland,NEW CUMBERLAND 1-1,Governor,,PAUL GLOVER,GRN,16,16,0,0,0,0
Cumberland,NEW CUMBERLAND 2-1,Governor,,PAUL GLOVER,GRN,9,9,0,0,0,0
Cumberland,NEW CUMBERLAND 2-2,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,NEW CUMBERLAND 2-3,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,NEWBURG,Governor,,PAUL GLOVER,GRN,1,1,0,0,0,0
Cumberland,NEWVILLE NORTH,Governor,,PAUL GLOVER,GRN,3,3,0,0,0,0
Cumberland,NEWVILLE SOUTH,Governor,,PAUL GLOVER,GRN,1,1,0,0,0,0
Cumberland,NORTH MIDDLETON 1,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,NORTH MIDDLETON 2,Governor,,PAUL GLOVER,GRN,9,9,0,0,0,0
Cumberland,NORTH MIDDLETON 3,Governor,,PAUL GLOVER,GRN,16,16,0,0,0,0
Cumberland,NORTH NEWTON,Governor,,PAUL GLOVER,GRN,3,3,0,0,0,0
Cumberland,PENN,Governor,,PAUL GLOVER,GRN,6,6,0,0,0,0
Cumberland,SHIPPENSBURG EAST,Governor,,PAUL GLOVER,GRN,9,8,1,0,0,0
Cumberland,SHIPPENSBURG MIDDLE,Governor,,PAUL GLOVER,GRN,7,7,0,0,0,0
Cumberland,SHIPPENSBURG TWP,Governor,,PAUL GLOVER,GRN,8,8,0,0,0,0
Cumberland,SHIREMANSTOWN,Governor,,PAUL GLOVER,GRN,7,7,0,0,0,0
Cumberland,SILVER SPRING 1,Governor,,PAUL GLOVER,GRN,9,9,0,0,0,0
Cumberland,SILVER SPRING 2,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,SILVER SPRING 3,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,SILVER SPRING 4,Governor,,PAUL GLOVER,GRN,6,6,0,0,0,0
Cumberland,SILVER SPRING 5,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,SILVER SPRING 6,Governor,,PAUL GLOVER,GRN,3,2,1,0,0,0
Cumberland,SILVER SPRING 7,Governor,,PAUL GLOVER,GRN,9,9,0,0,0,0
Cumberland,SILVER SPRING 8,Governor,,PAUL GLOVER,GRN,7,7,0,0,0,0
Cumberland,SILVER SPRING 9,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,SOUTH MIDDLETON 1,Governor,,PAUL GLOVER,GRN,8,8,0,0,0,0
Cumberland,SOUTH MIDDLETON 2,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,SOUTH MIDDLETON 3,Governor,,PAUL GLOVER,GRN,7,7,0,0,0,0
Cumberland,SOUTH MIDDLETON 4,Governor,,PAUL GLOVER,GRN,5,3,2,0,0,0
Cumberland,SOUTH MIDDLETON 5,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,SOUTH MIDDLETON 6,Governor,,PAUL GLOVER,GRN,3,3,0,0,0,0
Cumberland,SOUTH MIDDLETON 7,Governor,,PAUL GLOVER,GRN,3,2,1,0,0,0
Cumberland,SOUTH MIDDLETON 8,Governor,,PAUL GLOVER,GRN,6,6,0,0,0,0
Cumberland,SOUTH MIDDLETON 9,Governor,,PAUL GLOVER,GRN,3,3,0,0,0,0
Cumberland,SOUTH NEWTON,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,SOUTHAMPTON LOWER,Governor,,PAUL GLOVER,GRN,2,2,0,0,0,0
Cumberland,SOUTHAMPTON UPPER 1,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,SOUTHAMPTON UPPER 2,Governor,,PAUL GLOVER,GRN,9,9,0,0,0,0
Cumberland,UPPER ALLEN 1,Governor,,PAUL GLOVER,GRN,3,3,0,0,0,0
Cumberland,UPPER ALLEN 2,Governor,,PAUL GLOVER,GRN,2,2,0,0,0,0
Cumberland,UPPER ALLEN 3,Governor,,PAUL GLOVER,GRN,4,4,0,0,0,0
Cumberland,UPPER ALLEN 4,Governor,,PAUL GLOVER,GRN,7,7,0,0,0,0
Cumberland,UPPER ALLEN 5,Governor,,PAUL GLOVER,GRN,9,7,2,0,0,0
Cumberland,UPPER ALLEN 6,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,UPPER ALLEN 7,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,UPPER ALLEN 8,Governor,,PAUL GLOVER,GRN,6,5,1,0,0,0
Cumberland,UPPER ALLEN 9,Governor,,PAUL GLOVER,GRN,10,10,0,0,0,0
Cumberland,UPPER ALLEN 10,Governor,,PAUL GLOVER,GRN,6,6,0,0,0,0
Cumberland,UPPER FRANKFORD,Governor,,PAUL GLOVER,GRN,7,7,0,0,0,0
Cumberland,UPPER MIFFLIN,Governor,,PAUL GLOVER,GRN,2,2,0,0,0,0
Cumberland,WEST PENNSBORO LOWER,Governor,,PAUL GLOVER,GRN,8,7,1,0,0,0
Cumberland,WEST PENNSBORO UPPER,Governor,,PAUL GLOVER,GRN,4,3,1,0,0,0
Cumberland,WORMLEYSBURG 1,Governor,,PAUL GLOVER,GRN,4,3,0,1,0,0
Cumberland,WORMLEYSBURG 2,Governor,,PAUL GLOVER,GRN,5,5,0,0,0,0
Cumberland,Total,Governor,,PAUL GLOVER,GRN,671,644,26,1,0,0
Cumberland,CAMP HILL 1,Governor,,KEN V KRAWCHUK,LIB,10,10,0,0,0,0
Cumberland,CAMP HILL 2,Governor,,KEN V KRAWCHUK,LIB,20,20,0,0,0,0
Cumberland,CAMP HILL 3,Governor,,KEN V KRAWCHUK,LIB,20,18,2,0,0,0
Cumberland,CAMP HILL 4,Governor,,KEN V KRAWCHUK,LIB,13,13,0,0,0,0
Cumberland,CAMP HILL 5,Governor,,KEN V KRAWCHUK,LIB,21,21,0,0,0,0
Cumberland,CARLISLE 1-1,Governor,,KEN V KRAWCHUK,LIB,4,4,0,0,0,0
Cumberland,CARLISLE 1-2,Governor,,KEN V KRAWCHUK,LIB,4,4,0,0,0,0
Cumberland,CARLISLE 2,Governor,,KEN V KRAWCHUK,LIB,11,11,0,0,0,0
Cumberland,CARLISLE 3-1,Governor,,KEN V KRAWCHUK,LIB,8,8,0,0,0,0
Cumberland,CARLISLE 3-2,Governor,,KEN V KRAWCHUK,LIB,16,16,0,0,0,0
Cumberland,CARLISLE 3-3,Governor,,KEN V KRAWCHUK,LIB,16,15,1,0,0,0
Cumberland,CARLISLE 4-1,Governor,,KEN V KRAWCHUK,LIB,2,2,0,0,0,0
Cumberland,CARLISLE 4-2,Governor,,KEN V KRAWCHUK,LIB,22,22,0,0,0,0
Cumberland,CARLISLE 5,Governor,,KEN V KRAWCHUK,LIB,17,16,1,0,0,0
Cumberland,COOKE,Governor,,KEN V KRAWCHUK,LIB,2,2,0,0,0,0
Cumberland,DICKINSON NORTH,Governor,,KEN V KRAWCHUK,LIB,18,18,0,0,0,0
Cumberland,DICKINSON SOUTH,Governor,,KEN V KRAWCHUK,LIB,8,8,0,0,0,0
Cumberland,EAST PENNSBORO 1,Governor,,KEN V KRAWCHUK,LIB,15,15,0,0,0,0
Cumberland,EAST PENNSBORO 2,Governor,,KEN V KRAWCHUK,LIB,13,12,1,0,0,0
Cumberland,EAST PENNSBORO 3,Governor,,KEN V KRAWCHUK,LIB,9,8,1,0,0,0
Cumberland,EAST PENNSBORO 4,Governor,,KEN V KRAWCHUK,LIB,8,7,1,0,0,0
Cumberland,EAST PENNSBORO 5,Governor,,KEN V KRAWCHUK,LIB,6,6,0,0,0,0
Cumberland,EAST PENNSBORO 6,Governor,,KEN V KRAWCHUK,LIB,7,7,0,0,0,0
Cumberland,EAST PENNSBORO 7,Governor,,KEN V KRAWCHUK,LIB,20,20,0,0,0,0
Cumberland,EAST PENNSBORO 8,Governor,,KEN V KRAWCHUK,LIB,12,12,0,0,0,0
Cumberland,EAST PENNSBORO 9,Governor,,KEN V KRAWCHUK,LIB,23,23,0,0,0,0
Cumberland,EAST PENNSBORO 10,Governor,,KEN V KRAWCHUK,LIB,7,7,0,0,0,0
